Timestamp,ID,Treatment,Trial,Explosion Point,Initial Pump,Top Off
2025-06-26 11:02:08,Tom,Con1,1,66,30,4
2025-06-26 11:02:23,Tom,Con1,2,109,40,7
2025-06-26 11:02:35,Tom,Con1,3,38,54,0
2025-06-26 11:02:47,Tom,Con1,4,116,40,1
2025-06-26 11:03:04,Tom,Con1,5,47,39,2
2025-06-26 11:03:21,Tom,Con1,6,124,70,0
2025-06-26 11:03:28,Tom,Con1,7,18,75,0
2025-06-26 11:03:40,Tom,Con1,8,110,50,0
2025-06-26 11:03:43,Tom,Con1,9,3,30,0
2025-06-26 11:03:48,Tom,Con1,10,9,47,0
2025-06-26 11:04:01,Tom,Con1,11,53,1,9
2025-06-26 11:04:12,Tom,Con1,12,89,41,0
2025-06-26 11:04:19,Tom,Con1,13,8,64,0
2025-06-26 11:04:32,Tom,Con1,14,93,59,0
2025-06-26 11:04:55,Tom,Con1,15,110,88,0
2025-06-26 11:05:01,Tom,Con1,16,24,115,0
2025-06-26 11:05:16,Tom,Con1,17,119,80,0
2025-06-26 11:05:30,Tom,Con1,18,86,77,0
2025-06-26 11:05:36,Tom,Con1,19,27,22,0
2025-06-26 11:05:42,Tom,Con1,20,31,66,0
2025-06-26 11:05:45,Tom,Con1,21,1,64,0
2025-06-26 11:05:54,Tom,Con1,22,48,70,0
2025-06-26 11:06:06,Tom,Con1,23,69,61,0
2025-06-26 11:06:23,Tom,Con1,24,120,88,0
2025-06-26 11:06:33,Tom,Con1,25,28,62,0
2025-06-26 11:06:41,Tom,Con1,26,42,52,0
2025-06-26 11:06:51,Tom,Con1,27,72,40,0
2025-06-26 11:07:51,Tom,Con1,28,110,103,0
2025-06-26 11:07:57,Tom,Con1,29,23,32,0
2025-06-26 11:08:06,Tom,Con1,30,127,28,0
